"Негосударственное образовательное учреждение Высшее профессиональное образование ""Сергиево-Посадский гуманитарный институт""";Организация инновационного межвузовского завода-лаборатории для производственной практики студентов;Российский Союз Молодежи;2
"Автономная некоммерческая социальная организация ""ПЕРСПЕКТИВА"" (сокращ. АНО ""ПЕРСПЕКТИВА"")";Развитие региональной системы содействия в трудоустройстве и адаптации к рынку труда студентов и выпускников учебных заведений Санкт-Петербурга;Общество «Знание» России;366
Первичная профсоюзная организация студентов Казанского (Приволжского) федерального университета Татарской республиканской организации общественной организации – Профсоюз работников народного образования и науки Российской Федерации;Первичная профсоюзная организация студентов Казанского (Приволжского) федерального университета Татарской республиканской организации общественной организации – Профсоюз работников народного образования и науки Российской Федерации;Российский Союз Молодежи;370
"Негосударственное образовательное учреждение среднего профессионального образования ""Курский техникум экономики и права""";"Инновационная образовательная программа для студентов                                                  и старшеклассников ""Командное проектное обучение""";Общество «Знание» России;370
Первичная профсоюзная организация студентов Орловского государственного института экономики и торговли;«Без Ям Орловщина»;Российский Союз Молодежи;387
"Негосударственное образовательное учреждение дополнительного профессионального образования ""Ресурсный учебный центр высоких технологий ""ОРТ-СПб""";Разработка и апробация модели ВУЗовского центра развития студенческого добровольческого движения;Институт проблем гражданского общества;389
"Саранская городская общественная организация ""Союз студентов Мордовского государственного университета им. Н.П.Огарёва""";«МОЙ мир – ТВОЙ мир – НАШ мир». (Расширение интеллектуального и культурного кругозора, развитие творческого мышления воспитанников интернатов с применением дистанционных образовательных технологий).;Национальный благотворительный фонд;398
Воронежская региональная общественная детская организация «Искра»;Региональный фестиваль школьных и студенческих медиа-проектов;Российский Союз Молодежи;405
Татарстанское региональное отделение Молодежной общероссийской общественной организации «Российские Студенческие Отряды»;Всероссийский студенческий строительный отряд «Иннополис» г. Казань;Российский Союз Молодежи;406
Первичная профсоюзная организация студентов Санкт-Петербургского государственного политехнического университета профсоюза работников народного образования и науки Российской Федерации;Межвузовский военно-патриотический слет «Непобежденная крепость»;Российский Союз Молодежи;426
Первичная профсоюзная организация студентов федерального государственного бюджетного образовательного учреждения высшего профессионального образования  «Государственный университет-учебно-научно-производственный комплекс»;Студенческий межвузовский журнал «Новый элемент»;Российский Союз Молодежи;427
Воронежская городская общественная организация инвалидов,страдающих рассеянным склерозом с нарушением опорно-двигательного аппарата;"""Держи меня "" Соломинка"", держи"". (Организация ухода за инвалидами на дому силами родителей, родственников больных, студентов профильных специальностей).";Национальный благотворительный фонд;429
Ассоциация профсоюзных организаций студентов Орловской области;«Интеллектуальный марафон»;Российский Союз Молодежи;431
Некоммерческое партнерство по Развитию Возобновляемой Энергетики «ЕВРОСОЛАРРусская секция»;Интерактивные семинары и конкурс студенческих творческих работ ведущих ВУЗов Россиипо применению возобновляемых источников энергии в городской среде;Общество «Знание» России;440
"Первичная профсоюзная организация студентов и аспирантов Федерального государственного образовательного учреждения высшего профессионального образования ""Ульяновская государственная сельскохозяйственная академия"" Ульяновской территориальной организации проф";Школа молодых инноваторов;Российский Союз Молодежи;453
Ярославская областная молодёжная общественная организация «Союз студентов»;VII Межрегиональный фестиваль современного танца  «Wild Wild Dance»;Российский Союз Молодежи;457
Ярославская областная молодёжная общественная организация «Союз студентов»;Международный студенческий фестиваль «СТАТУС» (Семестр Творчества, Адреналина, Туризма, Улыбок, Спорта);Российский Союз Молодежи;458
Ярославская областная молодёжная общественная организация «Союз студентов»;Комплексная программа интеграции молодых людей с ограниченными возможностями здоровья в молодёжные творческие и общественные проекты «Виктория»;Российский Союз Молодежи;461
Ярославская областная молодёжная общественная организация «Союз студентов»;Областной лагерь студенческого актива «Моё поколение»;Российский Союз Молодежи;463
Фонд социального развития и охраны здоровья «ФОКУС-МЕДИА»;«Развитие навыков трудоустройства студентов профессиональных училищ и поднятие престижа рабочих профессий»;Российский Союз Молодежи;467
"Общероссийский союз общественных организаций инвалидов ""Помощь и созидание""";Помощь, созидание - залог достижения успехов в учебе и обеспечения социальной защищенности студентов-инвалидов. (Содействие в получении высшего профессионального образования и др.).;Национальный благотворительный фонд;481
"Межрегиональная общественная организация ""Союз студентов и молодежи""";Молодежный парк;Российский Союз Молодежи;481
"Негосударственное образовательное учреждение детей ""Учебный центр ""КОМПЬЮТЕРиЯ""";Региональный конкурс бизнес-идей школьников и студентов «Ключ к успеху»;Российский Союз Молодежи;487
Региональное общественное объединение «Ассоциация студентов Республики Ингушетия».;«Молодой Кавказ - 2013»;Российский Союз Молодежи;490
Первичная профсоюзная организация сотрудников и студентов Тамбовского государственного технического университета, общественная организация;Тренинги по формированию межнациональной толерантности и воспитания чувства взаимоуважения в образовательной среде Тамбовской области;Институт проблем гражданского общества;501
Региональная общественная организация поддержки и развития молодежного творчества «Студенческий клуб Санкт-Петербурга»;Программа поддержки и развития движения КВН среди нестуденческой молодежи (учащаяся молодежь в возрасте от 14 до 18 лет, работающая молодежь в возрасте от 18 до 30 лет);Российский Союз Молодежи;508
"Региональная молодежная общественная организация ""Лига студентов Республики Татарстан""";"Школа активного гражданина ""ШАГ""";Институт проблем гражданского общества;509
"Духовное профессиональное образовательное учреждение ""Агинская Буддийская Академия""";Архитектурный памятник 19 века (учебный корпус Агинской Буддийской Академии) как объект учебно-производственной  практики студентов буддийской живописи;Лига здоровья нации;534
"Удмуртское региональное отделение Молодёжной общероссийской общественной организации ""Российские Студенческие Отряды""";"Добровольческая акция студенческих отрядов ""Отрядный вираж"" (оказание помощи в решении текущих бытовых проблем ветеранов, организации спортивно-оздоровительного и культурного досуга населения).";Национальный благотворительный фонд;545
Всероссийская молодежная общественная организация  «Российский союз студенческих организаций»;Всероссийская добровольческая студенческая гражданско-патриотическая акция «15 дней до Великой Победы»;Российский Союз Молодежи;549
Некоммерческое партнёрство «Клуб студентов и молодёжи «Первые»;Реализация Заочной системы профессионального воспитания, включая Всероссийскую заочную научно-техническую олимпиаду;Российский Союз Молодежи;556
Татарстанское региональное отделение Молодежной общероссийской общественной организации «Российские Студенческие Отряды»;Ресурсный центр студенческих трудовых отрядов в Приволжском Федеральном Округе;Общество «Знание» России;570
"Алтайское региональное отделение молодежной общероссийской общественной организации ""Российские студенческие отряды""";Снежный десант;Институт проблем гражданского общества;573
Местная общественная организация-Первичная Профсоюзная организация студентови аспирантов Московского Государственного Горного Университета (МГГУ) Региональной общественной организации-Московской городской организации Профсоюза работников народного образования и науки Российской Федерации;Воспитание молодежи в духе толерантности, укрепление межнациональных отношений, развитие лидерских качеств;Общество «Знание» России;582
Ассоциация профсоюзных организаций студентов Новосибирской области;"""Стиль жизни"" (пропаганда здорового образа жизни и профилактика аддиктивного поведения (проблемы наркомании, алкоголизма и табакокурения) в молодежной среде).";Национальный благотворительный фонд;583
Автономная Некоммерческая Организация «Масс-Медиа-Центр»;Коалиционная программа поддержки студенчества «Уникальный ресурс Сибири»;Российский Союз Молодежи;589
"Негосударственное образовательное учреждение ""Учебно-консультационный центр""";"Организационно-методическое обеспечение проведения Международного студенческого научного форума-олимпиады ""История России через призму веков""";Общество «Знание» России;590
Региональная Молодежная общественная организация «Лига студентов Республики Татарстан»;Молодежный проект «Академия здоровья»;Лига здоровья нации;594
"Некоммерческая автономная организация ""Экспедиция НГГУ""";"Возрождение истории Обь-Енисейского канала: исследование вариантов соединения сибирских рек Оби и Енисея; истории строительства Обь-Енисейского канала, как одной из малоизученных страниц истории России при участии студенческого клуба ""СЛЕД""; оценка состояния объекта истории и культуры ""Обь-Енисейский канал"" в настоящее время.";Общество «Знание» России;607
Московская областная общественная экологическая организация «Истрица»;Обустройство эколого-образовательных и лечебно-оздоровительных троп, окончание комплектации здания музея ландшафта МООЭО «Истрица»  и организация эколого-образовательных туров для студентов и людей с ограниченными возможностями;Лига здоровья нации;623
Профсоюзная организация студентов Томского политехнического университета Томской территориальной организации профсоюза работников народного образования и науки Российской Федерации;Всероссийский конкурс независимых студенческих видеопроектов «Золотая лента-2014»;Российский Союз Молодежи;629
Алтайское региональное отделение молодежной общероссийской общественной организации «Российские студенческие отряды»;Фестиваль и спартакиада студенческих отрядов Сибирского Федерального округа;Лига здоровья нации;631
Южный региональный фонд развития толерантности и профилактики экстремизма;Технологии формирования антиэкстремистских установок в молодежной среде для развития межнациональной и межконфессиональной толерантности студентов и воспитания чувства взаимоуважения между народами России;Институт проблем гражданского общества;638
Негосударственное образовательное учреждение высшего профессионального образования «Университет управления «ТИСБИ»;«Школа будущей семьи»: профилактика зависимого и созависимого поведения в студенческой среде посредством формирования навыков эффективных взаимоотношений и ЗОЖ;Лига здоровья нации;648
Некоммерческое партнерство «Калужский лазерный инновационно-технологический центр – Центр коллективного пользования»;Расширение возможностей Центра коллективного пользования для содействия научным  разработкам в области лазерной обработки материалов для аспирантов и студентов высших и средних технических  учебных заведений.;Российский Союз Молодежи;652
Нижегородская областная общественная организация «Социально-психологический центр «Доверие»;Вовлечение студентов в деятельность НКО;Российский Союз Молодежи;654
Региональная общественная организация «Дагестанский союз молодежи»;"Программа кураторства для студентов из Республики Дагестан и  Кабардино Балкарской Республики, учащихся и поступающих в образовательные учреждения  г.Москва и г.Ростова на Дону,-""Наставник""";Общество «Знание» России;660
Южный региональный фонд развития толерантности и профилактики экстремизма;Диалог культур как смыслотехнология формирования установок толерантного сознания и поведения студентов ВУЗа;Институт проблем гражданского общества;668
Южный региональный фонд развития толерантности и профилактики экстремизма;"Разработка диагностической методики ""Особенности страха одержимостью  как компонента склонности к фанатической вере"" по выявлению студентов, склонных к фанатической вере среди студентов разной этноконфессиональной принадлежности";Институт проблем гражданского общества;674
Некоммерческий фонд «Возрождение Нации»;Модель организации профилактической  деятельности волонтеров в рамках компании по экспресс - тестированию студентов на предмет употребления наркотиков;Лига здоровья нации;675
Ростовское региональное отделение молодежной общероссийской общественной организации «Российские студенческие отряды»;«Лидер 21 века»;Российский Союз Молодежи;681
Первичная профсоюзная организация студентов Казанского (Приволжского) федерального университета Татарской республиканской организации общественной организации – Профсоюз работников народного образования и науки Российской Федерации;"Политико-экономическая образовательная он-лайн игра с социальной сетью ""Полития.ру""";Институт проблем гражданского общества;683
Томский областной общественный фонд;Содействие профессионализации студентов гуманитарных специальностей посредством организации студенческой практики в профильных НКО;Российский Союз Молодежи;687
Удмуртское региональное отделение Молодежной общероссийской общественной организации «Российские Студенческие Отряды»;Спартакиада студенческих отрядов Удмуртской Республики;Лига здоровья нации;697
"Первичная профсоюзная организация студентов и аспирантов Федерального государственного образовательного учреждения высшего профессионального образования ""Ульяновская государственная сельскохозяйственная академия"" Ульяновскойтерриториальной организации профсоюза работников агропромышленного комплекса Российской Федерации";Волна здоровья;Лига здоровья нации;698
Профсоюзная организация студентов Томского политехнического университета Томской территориальной организации профсоюза работников народного образования и науки Российской Федерации;Добровольческий проект «Декада добрых дел»;Российский Союз Молодежи;702
Санкт-Петербургская общественная организация Экологический Правозащитный Центр «Беллона»;Конкурс научных работ в области возобновляемых источников энергии и энергоэффективности на соискание стипендии для молодых ученых, студентов и аспирантов высших учебных заведений в 2013/2014 учебном году;Российский Союз Молодежи;705
Первичная профсоюзная организация студентов Казанского (Приволжского) федерального университета Татарской республиканской организации общественной организации – Профсоюз работников народного образования и науки Российской Федерации;Спартакиада среди студентов 1 курса КФУ;Лига здоровья нации;717
Первичная профсоюзная организация студентов Казанского (Приволжского) федерального университета Татарской республиканской организации общественной организации – Профсоюз работников народного образования и науки Российской Федерации;Технология сопровождения социальной адаптации детей-сирот и детей, оставшихся без попечения родителей;Лига здоровья нации;718
Южно-Российская Ассоциация студенческих профсоюзных организаций;Программа пропаганды физической культуры и спорта среди студентов вузов Южного и Северо-Кавказского федеральных округов;Лига здоровья нации;722
"Автономная некоммерческая органиизация по оказанию услуг в области культуры и просвещения ""Союза технических специальностей ""БЭСТ Санкт-Петербург""";Программа развития студенческих инженерно-технических клубов и вузах России.;Российский Союз Молодежи;728
Местная общественная организация - первичная профсоюзная организация студентов Московского государственного машиностроительного университета (МАМИ) региональной общественной организации – Московской городской организации Профсоюза работников народного образова;Разработка и апробация системы мотивации обучающихся на инженерных специальностях в учебном заведении к научно-инновационной деятельности с последующей публикацией ее в сети Интернет в целях ее тиражирования в учебных заведениях Российской Федерации.;Российский Союз Молодежи;733
Местная общественная организация - первичная профсоюзная организация студентов Московского государственного машиностроительного университета (МАМИ) региональной общественной организации – Московской городской организации Профсоюза работников народного образова;Конкурсн на лучшего студента Университета машиностроения;Российский Союз Молодежи;737
Местная общественная организация - первичная профсоюзная организация студентов Московского государственного машиностроительного университета (МАМИ) региональной общественной организации – Московской городской организации Профсоюза работников народного образова;Точка сборки;Российский Союз Молодежи;741
"Некоммерческое партнерство по проведению экспертизы в области промышленности и энергетики ""Экспертный клуб""";Реализация стажерских программ, направленных на вовлечение молодых специалистов и студентов в инновационную деятельность высокотехнологичных отраслей промышленности и энергетики;Российский Союз Молодежи;749
Ассоциация профсоюзных организаций студентов Самарской области;Проект по противодействию алкоголизации молодежи и населения регионов Приволжского федерального округа «Трезвое решение»;Лига здоровья нации;765
Межрегиональная общественная организация «Экологический клуб аспирантов, студентов и школьников Балтийско-Ладожского региона»;Межрегиональный молодежный конурс научно-технических и творческих работ в области окружающей среды и природопользования;Общество «Знание» России;768
Псковское региональное молодежное общественное движение «Союз студенческих отрядов»;«ПриССОединяйся!» - проект по вовлечению студенческой молодежи в активизацию деятельности местных соседских сообществ;Российский Союз Молодежи;769
Местная общественная организация - первичная профсоюзная организация студентов Московского государственного университета геодезии и картографии (МИИГАиК) региональной общественной организации – Московской городской организации Профсоюза работников народного образования и науки Российской Федерации;Проект «Комплекс просветительских мероприятий по повышению социально-политической культуры и электоральной активности молодежи «Выбор Будущего»;Общество «Знание» России;769
"Амурское региональное отделение общероссийской общественной организации малого и среднего предпринимательства ""Опора России""";Создание системы вовлечения и мотивирования  студентов ВУЗов в инновационный бизнес в Амурской области;Российский Союз Молодежи;771
Региональная общественная организация студентов Республики Башкортостан «АЙСЕК-Уфа»;III Форум молодых ученых Приволжского федерального округа;Российский Союз Молодежи;778
"Некоммерческое партнерство ""Студенческое Научное Общество Магистр""";Шаг навстречу- организация работы студенческого волонтерского отряда по реализации  комплекса мероприятий по информационной, правовой, социально-педагогической поддержке семей с детьми в трудной жизненной ситуации.;Национальный благотворительный фонд;781
Некоммерческое партнерство «Московско-Петербургский Философский Клуб»;Цикл федеральных и межрегиональных конкурсов для студентов, аспирантов и молодых ученых «Философия новой России»;Российский Союз Молодежи;782
Местная общественная орг-ция - первич. профсоюз. орг-ция студентов Московского государственного машиностроительного университета (МАМИ) региональной общественной организации – Московской городской орг-ции Профсоюза работников народного образования и науки РФ;Разработка и апробация системы мотивации обучающихся в учебном заведении к научно-инновационной деятельности с последующей публикацией ее в сети Интернет в целях ее тиражирования в учебных заведениях Российской Федерации.;Российский Союз Молодежи;794
"Автономная некоммерческая организация ИНСТИТУТ ФИЗИКО-ТЕХНИЧЕСКОЙ ИНФОРМАТИКИ""";Здоровый студент - успешный специалист;Лига здоровья нации;797
Автономная некоммерческая организация «Развитие студенческого и молодежного спорта»;Первый информационный портал о любительском студенческом и молодёжном спорте www.studentsport.ru;Лига здоровья нации;834
Негосударственное образовательное учреждение высшего профессионального образования «Православный Свято-Тихоновский гуманитарный университет»;Университет и гражданская вовлеченность студентов: оценка социальных эффектов высшего образования;Институт проблем гражданского общества;834
Ассоциация содействия развитию инновационной деятельности и модернизации «Передовые технологии»;Cистема общественного контроля качества образования и сопутствующих сфер жизни студенчества России»;Лига здоровья нации;880
Межрегиональная общественная организация «Экологический клуб аспирантов, студентов и школьников Балтийско-Ладожского региона»;Развитие природоохранных инициатив молодежи по обустройству прибрежных территорий на базе межрегиональных экологических школ;Лига здоровья нации;902
Некоммерческое образовательное учреждение «Сибирский институт технологий управления»;Развитие сетевого взаимодействия между выпускниками, студентами и структурными подразделениями КемГУ (Кемеровского государственного университета);Институт проблем гражданского общества;902
Некоммерческое партнерство по развитию каратэ-до сетокан Спортивный клуб «Сюдзин»;Разработка и внедрение методики физической подготовки студенток специальной медицинской группы, основанной на учете особенностей заболеваний и типов телосложения;Лига здоровья нации;909
Автономная некоммерческая организация Молодежный спортивно-оздоровительный центр «ТИМ-СПОРТ»;Воспитание навыков здорового образа жизни студентов   в институтах здоровья;Лига здоровья нации;910
"Ульяновская областная организация Общероссийской общественной организации ""Российский союз молодежи""";Лаборатория современного и дополнительного образования для студентов технических специалистов;Общество «Знание» России;923
Фонд преодоления демографического кризиса;Улучшение системы профессиональной подготовки студентов медицинских ВУЗов в области профилактики заболеваний и формирования здорового образа жизни;Лига здоровья нации;945
"Саранская городская общественная организация ""Союз студентов Мордовского государственного университета им. Н.П.Огарёва""";"""Социальный адаптив"". (Социальная адаптация студентов из числа детей-сирот и детей, оставшихся без попечения родителей: комплекс тематических и практических занятий).";Национальный благотворительный фонд;946
Местная общественная организация - первичная профсоюзная организация сотрудников и студентов Московского государственного института электронной техники (технического университета) (МГИЭТ(ТУ)) региональной общественной организации - Московской городской организации Профсоюза работников народного образования и науки Российской Федерации;Программа укрепления общественного института молодежных средств массовой информации «Роль молодежных СМИ в жизни страны»;Институт проблем гражданского общества;953
Санкт-Петербургская общественная организация Экологический Правозащитный Центр «Беллона»;Всероссийский студенческий конкурс «ЭКО-ЮРИСТ 2013»;Общество «Знание» России;966
Профсоюзная организация студентов Томского политехнического университета Томской территориальной организации профсоюза работников народного образования и науки Российской Федерации;Всероссийский конкурс независимых студенческих видеопроектов «Золотая лента-2014»;Институт проблем гражданского общества;975
Ассоциация вузов «Самарский региональный научно-образовательный комплекс»;II Поволжский студенческий фестиваль культур «Этно-Волна 2014»;Институт проблем гражданского общества;982
"Областная молоделная общественная организация  ""Союз оренбургских студентов""";"Программа развития системы поддержки социальных инициатив  студенческого и молодежного  ссобщества оренбургской области  ""активация""";Институт проблем гражданского общества;986
Первичная профсоюзная организация студентов Казанского (Приволжского) федерального университета Татарской республиканской организации общественной организации – Профсоюз работников народного образования и науки Российской Федерации;Научно-образовательная программа «Инженер будущего»;Общество «Знание» России;997
Первичная профсоюзная организация студентов Казанского (Приволжского) федерального университета Татарской республиканской организации общественной организации – Профсоюз работников народного образования и науки Российской Федерации;Межфакультетский конкурс «Наука в объективе»;Общество «Знание» России;998
