name;type;reg;god
Профсоюзная организация студентов Московской государственной академии физической культуры;Профессиональный союз;Московская область;2003
профсоюзная организация студентов Н-Тагильского государственного педагогического института;Профессиональный союз;Свердловская область;
Профсоюзная организация студентов Омского государственного университета;Профессиональный союз;Омская область;2002
Профсоюзная организация студентов Пензенского государственного приборостроительного колледжа РФ;Профессиональный союз;Пензенская область;
Профсоюзная организация студентов Пензенского Государственного Университета;Профессиональный союз;Пензенская область;2003
"Профсоюзная организация студентов Ростовского государственного Экономического Университета ""РИНХ"" Ростовской областной организации Общественной организации - Профсоюза работников народного образования и науки РФ";Профессиональный союз;Ростовская область;
Профсоюзная организация студентов Самарского государственного архитектурно-строительного университета Профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Самарская область;
Профсоюзная организация студентов Самарского государственного аэрокосмического университета Профсоюза работников народного образования и науки РФ;Профессиональный союз;Самарская область;2003
Профсоюзная организация студентов Самарского государственного технического университета профсоюза работников народного образования и науки РФ;Профессиональный союз;Самарская область;2003
Профсоюзная организация студентов Самарского государственного университета Профсоюза работников народного образования и науки РФ;Профессиональный союз;Самарская область;2003
Профсоюзная организация студентов Самарской государственной экономической академии Профсоюза работников народного образования РФ;Профессиональный союз;Самарская область;2004
Профсоюзная организация студентов Санкт-Петербургского государственного университета низкотемпературных и пищевых технологий профсоюза работников народного образования и науки РФ;Профессиональный союз;Санкт-Петербург;2003
Профсоюзная организация студентов Санкт-Петербургского Государственного университета путей сообщения;Профессиональный союз;Санкт-Петербург;1998
Профсоюзная организация студентов Санкт-Петербургского государственного Университета Экономики и Финансов профсоюза работников народного образования и науки Российской Федерации;Профессиональный союз;Санкт-Петербург;1998
Профсоюзная организация студентов Северо-Осетинской государственной медицинской академии профсоюза работников здравохранания РФ;Профессиональный союз;Республика Северная Осетия - Алания;2002
Профсоюзная организация студентов Сибирского государственного технологического университета;Профессиональный союз;Красноярский край;2002
"Профсоюзная организация студентов (Союз студентов) федерального государсвтенного автономного образовательного учреждения высшего профессионального образования ""Уральский федеральный университет имени первого Президента России Б.Н.Ельцина""";Профессиональный союз;Свердловская область;2002
Профсоюзная организация студентов Сызранского филиала Самарского государственого технического университета Профсоюза работников народного образования и науки РФ;Профессиональный союз;Самарская область;2003
Профсоюзная организация студентов Тольяттинского отделения Самарского государственного университета Профсоюза работников народного образования и науки РФ;Профессиональный союз;Самарская область;
Профсоюзная организация студентов Томского базового медицинского колледжа Томского областного комитета профсоюза работников здравоохранения;Профессиональный союз;Томская область;2002
Профсоюзная организация студентов Томского государственного педагогического университета Томской территориальной организации Профсоюза работников народного образования и науки РФ;Профессиональный союз;Томская область;2002
профсоюзная организация студентов Уральского государственного профессионального педагогического университета;Профессиональный союз;Свердловская область;
Профсоюзная организация студентов Уральского государственного экономического университета;Профессиональный союз;Свердловская область;
Профсоюзная организация студентов Уральского техникума железнодорожного транспотра;Профессиональный союз;Свердловская область;
Профсоюзная организация студентов Уральской государственной сельскохозайственной Академии Профсоюза работников агропромышленного комплекса;Профессиональный союз;Свердловская область;2003
Профсоюзная организация студентов Южно-Российского государственного технического университета (ЮРГТУ (НИИ) Ростовской областной организации Общественной организации профсоюза работников народного образования и науки РФ;Профессиональный союз;Ростовская область;2002
"Псковское региональное молодежное общественное движение ""Союз студенческих отрядов""";Общественное движение;Псковская область;2005
"Регинальная общественная организация ""Клуб бадминтона студентов и сотрудников МГТУ им. Баумана ""Волан""";Общественная организация;Москва;
"Региональная добровольная молодежная общественная организация ""Общество студентов ""Эволюция"" Красноярского края""";Общественная организация;Красноярский край;2003
Региональная Кемеровская молодежная общественная организация студентов, изучающих экономику и управление;Общественная организация;Кемеровская область;2011
"Региональная Краснодарская молодежная общественная организация студентов, изучающих экономику и управление ""АЙСЕК""";Общественная организация;Краснодарский край;2011
"Региональная молодежная общественная организация ""Лига студентов Республики Татарстан""";Общественная организация;Республика Татарстан (Татарстан);2002
Региональная молодежная общественная организация «Объединение студентов, изучающих экономику и управление»;Общественная организация;Санкт-Петербург;2008
"Региональная молодежная общественная организация ""Объединение студентов, изучающих экономику и управление ""Айсек""";Общественная организация;Приморский край;2014
"Региональная молодежная общественная организация ""Объединенный студенческий отряд Санкт-Петербурга""";Общественная организация;Санкт-Петербург;2012
"Региональная молодежная общественная организация ""Омский областной студенческий отряд""";Общественная организация;Омская область;2005
"Региональная молодежная общественная организация ""Организация студентов, изучающих экономику и управление""";Общественная организация;Москва;2006
"Региональная молодежная общественная организация ""Союз содействия студентам и аспирантам Санкт-Петербургского государственного университета сервиса и экономики"".";Общественная организация;Санкт-Петербург;2012
"Региональная молодежная общественная организация студентов и молодых специалистов, интересующихся экономикой и управлением ""АЙСЕК""";Общественная организация;Архангельская область;2011
"Региональная молодежная общественная организация «Штаб студенческих отрядов"" Республики Башкортостан";Общественная организация;Республика Башкортостан;2010
"Региональная молодежная физкультурно-спортивная общественная организация ""Федерация студенческого пэйнтбола Ростовской бласти""";Общественная организация;Ростовская область;2015
Региональная общественная организация Профессионального союза студентов Калининградского государственного технического университета;Профессиональный союз;Калининградская область;
"Региональная общественная организация Центр поддержки молодежных и студенческих инициатив ""Энергия молодых""";Общественная организация;Москва;2007
"Региональная общественная молодежная студенческая организация ""Педагогический отряд - Инструкторский корпус""";Общественная организация;Санкт-Петербург;
Региональная общественная организация - Ассоциация студенческих спортивных общественных объединений;Общественная организация;Москва;
"Региональная общественная организация содействия защите прав и законных интересов молодежи и студентов ""Европейский Студенческий Форум АЕЖЕ""";Общественная организация;Москва;2012
"Региональная общественная организация ""Ассоциация студентов Ингушетии""";Общественная организация;Республика Ингушетия;2012
"Региональная общественная организация ""Астраханское студенческое Землячество""";Общественная организация;Москва;2009
"Региональная общественная организация в Республике Дагестан ""Дагестанский Союз студентов""";Общественная организация;Республика Дагестан;2003
"Региональная общественная организация инвалидов-студентов и специалистов ""СВЕТОЧ""";Общественная организация;Москва;
"Региональная общественная организация ""Культурный Центр молдавских студентов и молодежи""";Общественная организация;Москва;2011
"Региональная общественная организация ""Лига арабских студентов города Москвы""";Общественная организация;Москва;
"Региональная общественная организация ""Лига студенческих спортивных клубов Владимирской области""";Общественная организация;Владимирская область;2014
"Региональная общественная организация ""Молодежно - студенческое объединение""";Общественная организация;Москва;2013
Региональная общественная организация «Молодежное общество студентов Таджикистана в Санкт-Петербурге»;Общественная организация;Санкт-Петербург;2011
"Региональная общественная организация ""Молодежное студенческое сообщество""";Общественная организация;Москва;2014
"Региональная общественная организация ""Московский союз студентов""";Общественная организация;Москва;
"Региональная общественная организация ""Московское объединение студентов-юристов""";Общественная организация;Москва;
"Региональная общественная организация ""Объединение студентов архитекторов""";Общественная организация;Москва;
"Региональная общественная организация ""Объединение студентов, аспирантов, сотрудников и выпускников Московского авиационного института ""Маёвец""";Общественная организация;Москва;2011
"Региональная общественная организация ""Объединение студентов, выпускников, преподавателей МГУ ""Альма Матер МГУ""";Общественная организация;Москва;
"Региональная общественная организация ""Объединение участников международных студенческих обменов""";Общественная организация;Москва;
"Региональная общественная организация ""Объединенный студенческий комитет Московского университета им. В.В. Ломоносова";Общественная организация;Москва;
"Региональная общественная организация ""Профессиональный союз студентов Калининградского технического колледжа""";Профессиональный союз;Калининградская область;
"Региональная общественная организация Республики Саха (Якутия) по организации научно-исследовательской работы среди студентов, школьников и социальной помощи малообеспеченным семьям и детям ""Эндемик""";Общественная организация;Республика Саха (Якутия);2013
"Региональная общественная организация содействия занятости и трудоустройству молодежи ""Марийский студенческий отряд"" Республики Марий Эл";Общественная организация;Республика Марий Эл;2002
"Региональная общественная организация содействия защите прав студентов ""Студенческое Содружество""";Общественная организация;Москва;2010
"Региональная Общественная Организация содействия развитию студенческих отрядов ""Студенческий Отряд Санкт-Петербурга""";Общественная организация;Санкт-Петербург;2012
"Региональная общественная организация содействия экономической подготовке студентов МГТУ им. Баумана ""Наука и экономика""";Общественная организация;Москва;
"Региональная общественная организация ""Союз арабских студентов Республики Татарстан""";Общественная организация;Республика Татарстан (Татарстан);2007
"Региональная общественная организация ""Союз прогрессивной молодежи и студентов Чеченской Республики""";Общественная организация;Чеченская Республика;2001
"Региональная общественная организация ""Союз студенческого спорта Республики Татарстан""";Общественная организация;Республика Татарстан (Татарстан);2012
Региональная общественная организация спасателей студентов и молодежи РД;Общественный фонд;Республика Дагестан;2004
"Региональная общественная организация ""Спортивное студенческое объединение НИТУ""";Общественная организация;Москва;2011
Региональная общественная организация «Спортивный волейбольный клуб студентов и сотрудников Московского Государственного Технического Университета имени Н.Э.Баумана»;Общественная организация;Москва;2002
"Региональная общественная организация ""Спортивный клуб сотрудников и студентов Московского государственного инженерно-физического института(МИФИ)";Общественная организация;Москва;
"Региональная общественная организация ""Спортивный клуб студентов и сотрудников МГСУ (МИСИ)""";Общественная организация;Москва;2002
"Региональная общественная организация студентов, аспирантов и трудящейся молодежи республики Саха (Якутия) за рубежом ""Илин Долгун"" (""Восточная волна"")";Общественная организация;Республика Саха (Якутия);2014
Региональная общественная организация студентов Республики Башкортостан «АЙСЕК – Уфа»;Общественная организация;Республика Башкортостан;2004
"Региональная общественная организация студентов Санкт-Петербурга по организации досуга студентов ""Возрождение""";Общественная организация;Санкт-Петербург;
Региональная общественная организация Томская экологическая студенческая инспекция им. Льва Блинова;Общественная организация;Томская область;2002
"Региональная общественная организация ""Федерация вольной борьбы студентов Якутии""";Общественная организация;Москва;
"Региональная общественная организация ""Федерация студенческого бокса города Москвы""";Общественная организация;Москва;2008
"Региональная Общественная Организация ""Федерация студенческого туризма Удмуртской Республики""";Общественная организация;Удмуртская Республика;2008
"Региональная общественная организация ""Футбольный клуб студентов и преподавателей МГУ им.М.В.Ломоносова""";Общественная организация;Москва;
"Региональная общественная организация ""Хоккейный клуб студентов и сотрудников МГУ им.М.В.Ломоносова""";Общественная организация;Москва;
"Региональная общественная организация ""Центр студентов МГУ имени М.В.Ломоносова""";Общественная организация;Москва;
Региональная общественная студенческая организация самодеятельного туризма;Общественная организация;Москва;
"Региональная Ростовская молодежная общественная организация студентов, изучающих экономику и управление ""АЙСЕК""";Общественная организация;Ростовская область;2011
"Региональная физкультурно-спортивная общественная организация молодежи и студентов ""Федерация киокусинкай Республики Марий Эл""";Общественная организация;Республика Марий Эл;2012
"Региональное отделение Всероссийской общественной молодежной организации ""Всероссийский студенческий корпус спасателей"" по Ленинградской области";Общественная организация;Ленинградская область;2012
"Региональный благотворительный общественный фонд содействия развитию творческих инициативных программ для студентов и молодежи ""Фортис""";Общественный фонд;Москва;
Региональный общественный фонд поддержки студентов художественных и творческих вузов;Общественный фонд;Санкт-Петербург;
Региональный общественный фонд поддержки студенческого спорта;Общественный фонд;Республика Бурятия;2008
Региональный общественный фонд Содействия в поддержке студенчества и молодежи «Синяя птица»;Общественный фонд;Москва;2010
"Региональный общественный фонд содействия развитию творческих способностей школьников и студентов в области образования. науки. искусства и спорта ""Мир одаренности""";Общественный фонд;Москва;
Региональный общественный фонд содействия социальной защите сотрудников и студентов МГАТУ им.К.Э.Циалковского;Общественный фонд;Москва;
Региональный общественный фонд поддержки студентов художественных и творческих вузов;Общественный фонд;Санкт-Петербург;
Региональный общественный фонд поддержки студенческого спорта;Общественный фонд;Республика Бурятия;2008
Региональный общественный фонд Содействия в поддержке студенчества и молодежи «Синяя птица»;Общественный фонд;Москва;2010
"Региональный общественный фонд содействия развитию творческих способностей школьников и студентов в области образования. науки. искусства и спорта ""Мир одаренности""";Общественный фонд;Москва;
Региональный общественный фонд содействия социальной защите сотрудников и студентов МГАТУ им.К.Э.Циалковского;Общественный фонд;Москва;
"Региональный общественный фонд содействия студентам Московского государственного Университета им.Ломоносова ""Альма-Матер""";Общественный фонд;Москва;
"Республиканская общественная организация попечителей студентов и аспирантов, обучающихся за пределами Якутии ""Алгыс""";Общественная организация;Республика Саха (Якутия);2007
"Республиканская общественная организация студентов и молодежи ""Табыс""";Общественная организация;Республика Саха (Якутия);2013
"Республиканский Фонд ""Фонд общественного развития студенческой инициативы""";Некоммерческий фонд;Республика Башкортостан;2007
Российский профсоюз студенческой молодежи;Профессиональный союз;Министерство юстиции;2011
"Ростовская региональная молодежная общественная организация ""Содружество студенческих и молодежных организаций""";Общественная организация;Ростовская область;2007
"Ростовская региональная общественная организация ""Спортивный студенческий союз ""Буревестник""";Общественная организация;Ростовская область;2004
"Ростовская региональная общественная организация ""Федерация бокса студентов Ростовской области""";Общественная организация;Ростовская область;2006
"Ростовская-на-Дону городская молодёжная общественная организация ""Центр студенческих инициатив""";Общественная организация;Ростовская область;2005
Ростовское региональное отделение Молодежной общероссийской общественной организации «Российские студенческие отряды»;Общественная организация;Ростовская область;2008
"Ростовское региональное отделение Общероссийской общественной организации ""Российский студенческий спортивный союз""";Общественная организация;Ростовская область;2013
"Рязанское региональное отделение Всероссийской общественной молодежной организации ""Всероссийский студенческий корпус спасателей""";Общественная организация;Рязанская область;2003
"Самарская городская общественная организация студентов, изучающих экономику и управление ""Айсек - Самара""";Общественная организация;Самарская область;2006
"Самарское региональное отделение Всероссийской общественной молодежной организации ""Всероссийский студенческий корпус спасателей""";Общественная организация;Самарская область;2010
"Самарское региональное отделение Молодежного общероссийского общественного движения ""Российские студенческие отряды""";Общественное движение;Самарская область;2008
Самарское региональное отделение Общероссийской общественной организации инвалидов (ОООИ) - Российской ассоциации незрячих студентов и специалистов (РАНСиС);Общественная организация;Самарская область;2003
"Санкт-Петербургская Ассоциация студенческих организаций ""Лидер""";Союз (ассоциация) общественных объединений;Санкт-Петербург;2003
"Санкт-Петербургская молодежная общественная организация ""Союз студентов Северо-Западной академии государственной службы""";Общественная организация;Санкт-Петербург;2005
"Санкт-Петербургская общественная молодежная организация ""союз студентов и аспирантов Санкт-Петербургского государственного морского технического Университета""";Общественная организация;Санкт-Петербург;
"Санкт-Петербургская общественная молодежная организация студентов-экономистов , изучающих промышленный инжиниринг и менеджмент ""ИСТИМ-Санкт-Петербург""";Общественная организация;Санкт-Петербург;2001
"Санкт-Петербургская общественная организация содействия трудоустройству студентов ""Центр Карьеры""";Общественная организация;Санкт-Петербург;2010
"Санкт-Петербургская общественная организация ""Союз арабских студентов""";Общественная организация;Санкт-Петербург;2004
"Санкт-Петербургская общественная организация ""Союз иностранных студентов""";Общественная организация;Санкт-Петербург;
"Санкт-Петербургская региональная молодежная общественная организация ""Городской штаб студенческих отрядов""";Общественная организация;Санкт-Петербург;2003
Санкт-Петербургская региональная общественная организация Центр помощи студентам Туркменистана Аркадаг;Общественная организация;Санкт-Петербург;2012
"Санкт-Петербургская региональная общественная студенческая физкультурно-спортивная организация ""Буревестник""";Общественная организация;Санкт-Петербург;2003
Санкт-Петербургский поощрительный фонд студенческих инициатив;Некоммерческий фонд;Санкт-Петербург;1997
"Саратовская региональная молодежная общественная организация ""Международная ассоциация студентов, изучающих экономику и управление""";Общественная организация;Саратовская область;2002
"Саратовская региональная общественная организация ""Саратовское спортивное студенческое содружество""";Общественная организация;Саратовская область;2013
Саратовское региональное отделение (СРО) общероссийской общественной организации инвалидов (ОООИ) - Российской ассоциации незрячих студентов и специалистов (РАНСиС);Общественная организация;Саратовская область;2002
"Свердловская региональная общественная организция ""Ассоциация студентов Свердловской области""";Общественная организация;Свердловская область;2014
"Свердловский областной общественный фонд участников студенческих отрядов ""ЗНАМЕНКА""";Общественный фонд;Свердловская область;2005
"Свердловский региональный общественный фонд ""Фонд ветеранов студенческого строительного отряда ""Искатель""";Общественный фонд;Свердловская область;2003
"Свердловское региональное молодежно-студенческое общественное движение ""В поддержку президентских инициатив""";Общественное движение;Свердловская область;2004
"Сибирское межрегиональное отделение общероссийской общественной организации ""Российский студенческий спортивный союз""";Общественная организация;Омская область;2011
"Славянская городская молодежная общественная организация студентов ""МОСТ""";Общественная организация;Краснодарский край;2004
"Смоленское региональное отделение Всероссийской общественной молодежной организации ""Всероссийский студенческий корпус спасателей""";Общественная организация;Смоленская область;2002
Союз студентов медиков;Союз (ассоциация) общественных объединений;Челябинская область;
Союз студенческих землячеств;Объединения (союз, ассоциация) юридических лиц;Москва;2011
"Сургутская городская общественная организация содействия социальной активности молодежи ""Открытая студенческая ассоциация""";Общественная организация;Ханты-Мансийский автономный округ – Югра;2012
"Тамбовское региональное отделение молодежной общероссийской общественной орагнизации ""Российские студенческие отряды""";Общественная организация;Тамбовская область;2014
"Тверская региональная молодежная общественная организация ""Союз студенчества Тверской области""";Общественная организация;Тверская область;2009
"Тверская региональная общественная организация по поддержке студентов, детей и молодежи ""Содействие детскому отдыху""";Общественная организация;Тверская область;2011
Тверское региональное отделение Общероссийской общественной организации инвалидов-Российской ассоциации незрячих студентов и специалистов (РАНС и С);Общественная организация;Тверская область;2002
"Территориальная организация студентов столицы Общероссийской общественной организации - ""Российский студенческий профессиональный союз""";Профессиональный союз;Москва;2002
"Территориальная организация-Московский городской профсоюз учащейся молодежи и студентов Ассоциации профсоюзов ""Трудовой Форум"" Института Молодежи";Профессиональный союз;Москва;
"Территориальное объединение общероссийской общественной организации ""Российская ассоциация студенческих профсоюзных организаций высших учебных заведений"" (РАПОС) в Республике Татарстан";Профессиональный союз;Республика Татарстан (Татарстан);
"Территориальное объединение профсоюзов ""Ассоциация профсоюзных организаций студентов ВУЗов Пермской области""";Союз (ассоциация) общественных объединений;Пермский край;2007
Территориальный профессиональный союз студентов Зеленограда;Профессиональный союз;Москва;
Территориальный профсоюз студентов и учащихся Московского энергетического института (технического университета);Профессиональный союз;Москва;
Тольяттинская городская общественная организация студентов, изучающих экономику и управление;Общественная организация;Самарская область;2012
"Томская региональная молодежная общественная организация ""Объединение студентов, изучающих экономику и управление""";Общественная организация;Томская область;2011
"Томская региональная общественная организация ""Ветераны студенческих строительных отрядов""";Общественная организация;Томская область;2004
